Ovitrampa ID;Estado;Município;Distrito;Rua;Número;Complemento;Localização;Latitude;Longitude;Ano;Semana;Data do envio da contagem;Ovos;Quem enviou;Observação;Lat_lng;Quarteirão;Data da instalação;Data de coleta
112;Mato Grosso do Sul;Ponta Porã;;Rua: Jorge Salomão;1550;;no quarto;-22,52473559;-55,72166349;2026;10;2026-03-23 20:21:54;0;sevpontapora.ms;;-22.52473559,-55.72166349;;2026-03-09;2026-03-13
113;Mato Grosso do Sul;Ponta Porã;;Rua: Santa Maria;23;;na árvore;-22,52338114;-55,71824844;2026;10;2026-03-23 20:21:55;0;sevpontapora.ms;;-22.52338114,-55.71824844;;2026-03-09;2026-03-13
114;Mato Grosso do Sul;Ponta Porã;;Rua: Pedro Manvailer;684;;na garagem;-22,52398929;-55,7145624;2026;10;2026-03-23 20:21:55;0;sevpontapora.ms;;-22.52398929,-55.7145624;;2026-03-09;2026-03-13
115;Mato Grosso do Sul;Ponta Porã;;Rua: Presidente Vargas;2999;;lavanderia;-22,52390475;-55,71092148;2026;10;2026-03-23 20:21:56;0;sevpontapora.ms;;-22.52390475,-55.71092148;;2026-03-09;2026-03-13
116;Mato Grosso do Sul;Ponta Porã;;Rua Guia lopes;3007;;lado da pia;-22,5226287;-55,70809409;2026;10;2026-03-23 20:21:56;150;sevpontapora.ms;;-22.5226287,-55.70809409;;2026-03-09;2026-03-13
117;Mato Grosso do Sul;Ponta Porã;;Rua: Tapirape;997;;Lavanderia;-22,51976429;-55,70817687;2026;10;2026-03-23 20:22:05;0;sevpontapora.ms;;-22.51976429,-55.70817687;;2026-03-09;2026-03-13
118;Mato Grosso do Sul;Ponta Porã;;Rua: Clodomiro novaes;59;;lavanderia;-22,52065237;-55,71061132;2026;10;2026-03-23 20:21:57;201;sevpontapora.ms;;-22.52065237,-55.71061132;;2026-03-09;2026-03-13
119;Mato Grosso do Sul;Ponta Porã;;Rua: Ramon Franco;749;;lavanderia;-22,52099862;-55,71334681;2026;10;2026-03-23 20:21:58;0;sevpontapora.ms;;-22.52099862,-55.71334681;;2026-03-09;2026-03-13
12;Mato Grosso do Sul;Ponta Porã;;"Rua; Dr Helio Brandao";1385;;Chao/Lavanderia;-22,57329254;-55,69029826;2026;10;2026-03-23 20:21:03;6;sevpontapora.ms;;-22.57329254,-55.69029826;;2026-03-09;2026-03-13
120;Mato Grosso do Sul;Ponta Porã;;Rua: Santo Angelo;122;;área de serviço;-22,52076238;-55,7192672;2026;10;2026-03-23 20:21:58;72;sevpontapora.ms;;-22.52076238,-55.7192672;;2026-03-09;2026-03-13
121;Mato Grosso do Sul;Ponta Porã;;Rua: Caçapava;104;;Mesa;-22,52052319;-55,72195895;2026;10;2026-03-23 20:21:59;25;sevpontapora.ms;;-22.52052319,-55.72195895;;2026-03-09;2026-03-13
122;Mato Grosso do Sul;Ponta Porã;;Rua: Honopolis;53;;;-22,52049352;-55,72694745;2026;10;2026-03-23 20:21:59;140;sevpontapora.ms;;-22.52049352,-55.72694745;;2026-03-09;2026-03-13
123;Mato Grosso do Sul;Ponta Porã;;rua Andorinha;524;;;-22,5208314;-55,7299954;2026;10;2026-03-23 20:22:00;0;sevpontapora.ms;;-22.5208314,-55.7299954;;2026-03-09;2026-03-13
124;Mato Grosso do Sul;Ponta Porã;;Rua:Locomotiva;90;;Pia;-22,52053197;-55,73407822;2026;10;2026-03-23 20:22:00;0;sevpontapora.ms;;-22.52053197,-55.73407822;;2026-03-09;2026-03-13
125;Mato Grosso do Sul;Ponta Porã;;Rua: 25 de março;40;;Churrasqueira;-22,52126754;-55,73871798;2026;10;2026-03-23 20:22:01;0;sevpontapora.ms;;-22.52126754,-55.73871798;;2026-03-09;2026-03-13
126;Mato Grosso do Sul;Ponta Porã;;Rua: Salgado Filho;137;;Debaixo da mesa;-22,51668534;-55,74004556;2026;10;2026-03-23 20:22:01;0;sevpontapora.ms;;-22.51668534,-55.74004556;;2026-03-09;2026-03-13
127;Mato Grosso do Sul;Ponta Porã;;Coronel Santana;369;;No depósito;-22,51672091;-55,73791244;2026;10;2026-03-23 20:22:02;0;sevpontapora.ms;;-22.51672091,-55.73791244;;2026-03-09;2026-03-13
128;Mato Grosso do Sul;Ponta Porã;;Rua Pedro Ângelo;281;;Do lado da pia do banheiro;-22,51642095;-55,73429687;2026;10;2026-03-23 20:22:02;0;sevpontapora.ms;;-22.51642095,-55.73429687;;2026-03-09;2026-03-13
129;Mato Grosso do Sul;Ponta Porã;;São Luiz;451;;mesa ao lado da churrasqueira;-22,5167767;-55,73001809;2026;10;2026-03-23 20:22:03;101;sevpontapora.ms;;-22.5167767,-55.73001809;;2026-03-09;2026-03-13
13;Mato Grosso do Sul;Ponta Porã;;R. Manoela Viêira Soares;80;;;-22,57023405;-55,69352631;2026;10;2026-03-23 20:21:03;20;sevpontapora.ms;;-22.57023405,-55.69352631;;2026-03-09;2026-03-13
130;Mato Grosso do Sul;Ponta Porã;;Corinto;404;;Ao lado do sofá da varanda;-22,51685682;-55,72731979;2026;10;2026-03-23 20:22:03;120;sevpontapora.ms;;-22.51685682,-55.72731979;;2026-03-09;2026-03-13
131;Mato Grosso do Sul;Ponta Porã;;Arariba;444;;embaixo da pia;-22,51692195;-55,72226979;2026;10;2026-03-23 20:22:04;0;sevpontapora.ms;;-22.51692195,-55.72226979;;2026-03-09;2026-03-13
132;Mato Grosso do Sul;Ponta Porã;;Travessa Adorinan Barbosa;48;;prateleira;-22,51666426;-55,71834303;2026;10;2026-03-23 20:22:04;60;sevpontapora.ms;;-22.51666426,-55.71834303;;2026-03-09;2026-03-13
133;Mato Grosso do Sul;Ponta Porã;;Hilário Pores;141;;varanda;-22,5166048;-55,71508147;2026;10;2026-03-23 20:22:05;0;sevpontapora.ms;;-22.5166048,-55.71508147;;2026-03-09;2026-03-13
134;Mato Grosso do Sul;Ponta Porã;;Rua Das Peróbas;548;;sala;-22,51713999;-55,71058231;2026;10;2026-03-23 20:22:05;0;sevpontapora.ms;;-22.51713999,-55.71058231;;2026-03-09;2026-03-13
135;Mato Grosso do Sul;Ponta Porã;;Ru 23 de Abri;83;;embaixo da pia;-22,51692195;-55,70633369;2026;10;2026-03-23 20:22:06;101;sevpontapora.ms;;-22.51692195,-55.70633369;;2026-03-09;2026-03-13
136;Mato Grosso do Sul;Ponta Porã;;México;180;;embaixo do tanque;-22,51231232;-55,70392708;2026;10;2026-03-23 20:22:06;0;sevpontapora.ms;;-22.51231232,-55.70392708;;2026-03-09;2026-03-13
137;Mato Grosso do Sul;Ponta Porã;;Costa e Silva;473;;prateleira da sala;-22,5130476;-55,70696636;2026;10;2026-03-23 20:22:07;63;sevpontapora.ms;;-22.5130476,-55.70696636;;2026-03-09;2026-03-13
138;Mato Grosso do Sul;Ponta Porã;;Rua das Aroeiras;905;;embaixo da pia da lavanderia;-22,51364227;-55,71127935;2026;10;2026-03-23 20:22:07;0;sevpontapora.ms;;-22.51364227,-55.71127935;;2026-03-09;2026-03-13
139;Mato Grosso do Sul;Ponta Porã;;Maria Auxiliadora;316;;embaixo da mesa;-22,51341222;-55,71906242;2026;10;2026-03-23 20:22:08;0;sevpontapora.ms;;-22.51341222,-55.71906242;;2026-03-09;2026-03-13
14;Mato Grosso do Sul;Ponta Porã;;Rua: Manoela Viêira Soares;273;;;-22,57044573;-55,69106854;2026;10;2026-03-23 20:21:04;24;sevpontapora.ms;;-22.57044573,-55.69106854;;2026-03-09;2026-03-13
140;Mato Grosso do Sul;Ponta Porã;;Jatobá;326;;prateleira;-22,51345428;-55,72245168;2026;10;2026-03-23 20:22:08;0;sevpontapora.ms;;-22.51345428,-55.72245168;;2026-03-09;2026-03-13
141;Mato Grosso do Sul;Ponta Porã;;Corinto;723;;Embaixo do Tanque;-22,51357094;-55,72647846;2026;10;2026-03-23 20:22:09;0;sevpontapora.ms;;-22.51357094,-55.72647846;;2026-03-09;2026-03-13
142;Mato Grosso do Sul;Ponta Porã;;Fortaleza;533;;varanda;-22,51318072;-55,72994623;2026;10;2026-03-23 20:22:09;37;sevpontapora.ms;;-22.51318072,-55.72994623;;2026-03-09;2026-03-13
143;Mato Grosso do Sul;Ponta Porã;;Pedro Ângelo da Rosa;816 -(Borracharia Vai e Vem);;ao lado do bebedouro;-22,51319383;-55,73272855;2026;10;2026-03-23 20:22:10;0;sevpontapora.ms;;-22.51319383,-55.73272855;;2026-03-09;2026-03-13
144;Mato Grosso do Sul;Ponta Porã;;Rio Preto;53;;varanda;-22,51425869;-55,73720417;2026;10;2026-03-23 20:22:10;53;sevpontapora.ms;;-22.51425869,-55.73720417;;2026-03-09;2026-03-13
145;Mato Grosso do Sul;Ponta Porã;;MS -164;532;;banheiro;-22,51331713;-55,74165512;2026;10;2026-03-23 20:22:11;0;sevpontapora.ms;;-22.51331713,-55.74165512;;2026-03-09;2026-03-13
146;Mato Grosso do Sul;Ponta Porã;;MS - 164;1000;;dentro do pneu;-22,50933567;-55,744296;2026;10;2026-03-23 20:22:11;0;sevpontapora.ms;;-22.50933567,-55.744296;;2026-03-09;2026-03-13
147;Mato Grosso do Sul;Ponta Porã;;Rua da Bandeira;134;;embaixo do tanque;-22,51099954;-55,74075163;2026;10;2026-03-23 20:22:12;10;sevpontapora.ms;;-22.51099954,-55.74075163;;2026-03-09;2026-03-13
148;Mato Grosso do Sul;Ponta Porã;;General Andrade Neves;70;;embaixo da mesa;-22,50900734;-55,73800202;2026;10;2026-03-23 20:22:12;57;sevpontapora.ms;;-22.50900734,-55.73800202;;2026-03-09;2026-03-13
149;Mato Grosso do Sul;Ponta Porã;;Perpétuo Socorro;64;;embaixo do tanque;-22,50938398;-55,73396798;2026;10;2026-03-23 20:22:13;0;sevpontapora.ms;;-22.50938398,-55.73396798;;2026-03-09;2026-03-13
15;Mato Grosso do Sul;Ponta Porã;;R. Vicente Azambuja,;1199;;;-22,57111941;-55,68770036;2026;10;2026-03-23 20:21:04;0;sevpontapora.ms;;-22.57111941,-55.68770036;;2026-03-09;2026-03-13
150;Mato Grosso do Sul;Ponta Porã;;Jasmin;491;;Embaixo do Tanque;-22,50958493;-55,72925073;2026;10;2026-03-23 20:22:14;0;sevpontapora.ms;;-22.50958493,-55.72925073;;2026-03-09;2026-03-13
151;Mato Grosso do Sul;Ponta Porã;;Sapucaia;502;;armário da varanda;-22,50955027;-55,72637296;2026;10;2026-03-23 20:22:14;0;sevpontapora.ms;;-22.50955027,-55.72637296;;2026-03-09;2026-03-13
152;Mato Grosso do Sul;Ponta Porã;;Sapucaia;142;;mesa da varanda da frente;-22,50954528;-55,72227699;2026;10;2026-03-23 20:22:15;64;sevpontapora.ms;;-22.50954528,-55.72227699;;2026-03-09;2026-03-13
153;Mato Grosso do Sul;Ponta Porã;;Inhacarú;745 (CRAS);;canto da sala;-22,5098164;-55,71878692;2026;10;2026-03-23 20:22:15;5;sevpontapora.ms;;-22.5098164,-55.71878692;;2026-03-09;2026-03-13
154;Mato Grosso do Sul;Ponta Porã;;Napoleão Oliveira;226;;embaixo do tanque;-22,50921416;-55,71437454;2026;10;2026-03-23 20:22:16;0;sevpontapora.ms;;-22.50921416,-55.71437454;;2026-03-09;2026-03-13
155;Mato Grosso do Sul;Ponta Porã;;Agápito Boeira;20;;estante da tv;-22,50857908;-55,71158549;2026;10;2026-03-23 20:22:16;80;sevpontapora.ms;;-22.50857908,-55.71158549;;2026-03-09;2026-03-13
156;Mato Grosso do Sul;Ponta Porã;;Equador;193;;dispensa;-22,50978823;-55,70647045;2026;10;2026-03-23 20:22:17;390;sevpontapora.ms;;-22.50978823,-55.70647045;;2026-03-09;2026-03-13
157;Mato Grosso do Sul;Ponta Porã;;Dinamarca;210;;Varanda;-22,50983738;-55,70268828;2026;10;2026-03-23 20:22:17;0;sevpontapora.ms;;-22.50983738,-55.70268828;;2026-03-09;2026-03-13
158;Mato Grosso do Sul;Ponta Porã;;Nicaragua;522;;ao lado da planta;-22,50727471;-55,70334382;2026;10;2026-03-23 20:22:18;0;sevpontapora.ms;;-22.50727471,-55.70334382;;2026-03-09;2026-03-13
159;Mato Grosso do Sul;Ponta Porã;;Av Estoril;1141;;Mesa da Varanda;-22,50477635;-55,70510288;2026;10;2026-03-23 20:22:18;45;sevpontapora.ms;;-22.50477635,-55.70510288;;2026-03-09;2026-03-13
16;Mato Grosso do Sul;Ponta Porã;;R. Jardim dos Estados,;1255;;;-22,57010889;-55,68375516;2026;10;2026-03-23 20:21:05;9;sevpontapora.ms;;-22.57010889,-55.68375516;;2026-03-09;2026-03-13
160;Mato Grosso do Sul;Ponta Porã;;Fernando Peralta;517;;Embaixo do tanque;-22,50627046;-55,71051287;2026;10;2026-03-23 20:22:19;0;sevpontapora.ms;;-22.50627046,-55.71051287;;2026-03-09;2026-03-13
161;Mato Grosso do Sul;Ponta Porã;;Belmiro de Albuquerque;1241;;Embaixo da pia;-22,50617558;-55,71445937;2026;10;2026-03-23 20:22:19;0;sevpontapora.ms;;-22.50617558,-55.71445937;;2026-03-09;2026-03-13
162;Mato Grosso do Sul;Ponta Porã;;Rua: Ezzat Georges;02;;Banheiro;-22,50568773;-55,71852948;2026;10;2026-03-23 20:22:20;101;sevpontapora.ms;;-22.50568773,-55.71852948;;2026-03-09;2026-03-13
163;Mato Grosso do Sul;Ponta Porã;;Pitombeiras;497;;Embaixo do Armário;-22,50587262;-55,72260522;2026;10;2026-03-23 20:22:20;0;sevpontapora.ms;;-22.50587262,-55.72260522;;2026-03-09;2026-03-13
164;Mato Grosso do Sul;Ponta Porã;;Belmiro de Albuquerque;2442;;Armário;-22,50610628;-55,72592202;2026;10;2026-03-23 20:22:21;5;sevpontapora.ms;;-22.50610628,-55.72592202;;2026-03-09;2026-03-13
165;Mato Grosso do Sul;Ponta Porã;;Osvaldo Cruz;57;;fundo;-22,50576527;-55,72971731;2026;10;2026-03-23 20:22:21;7;sevpontapora.ms;;-22.50576527,-55.72971731;;2026-03-09;2026-03-13
166;Mato Grosso do Sul;Ponta Porã;;Rua Acre;230;;varanda;-22,50542325;-55,73375148;2026;10;2026-03-23 20:22:22;0;sevpontapora.ms;;-22.50542325,-55.73375148;;2026-03-09;2026-03-13
167;Mato Grosso do Sul;Ponta Porã;;Padre Pedro Jonh Luiz;95;;armário da frente;-22,50534592;-55,73772283;2026;10;2026-03-23 20:22:22;0;sevpontapora.ms;;-22.50534592,-55.73772283;;2026-03-09;2026-03-13
168;Mato Grosso do Sul;Ponta Porã;;Professor Milton Fróes;152;;varanda;-22,50514894;-55,74050527;2026;10;2026-03-23 20:22:23;170;sevpontapora.ms;;-22.50514894,-55.74050527;;2026-03-09;2026-03-13
169;Mato Grosso do Sul;Ponta Porã;;Av. da Flora;1264;;cozinha;-22,50701371;-55,74597973;2026;10;2026-03-23 20:22:23;41;sevpontapora.ms;;-22.50701371,-55.74597973;;2026-03-09;2026-03-13
17;Mato Grosso do Sul;Ponta Porã;;R. Jabaquara;357;;;-22,57090792;-55,68041423;2026;10;2026-03-23 20:21:05;0;sevpontapora.ms;;-22.57090792,-55.68041423;;2026-03-09;2026-03-13
170;Mato Grosso do Sul;Ponta Porã;;Rua: Projetada 04;02;;embaixo do tanque;-22,50146106;-55,74452021;2026;10;2026-03-23 20:22:24;0;sevpontapora.ms;;-22.50146106,-55.74452021;;2026-03-09;2026-03-13
171;Mato Grosso do Sul;Ponta Porã;;Rua:Marcelo Gonzalez Reichardt;261.1;;varanda;-22,50139;-55,74182;2026;10;2026-03-23 20:22:24;150;sevpontapora.ms;;-22.50139,-55.74182;;2026-03-09;2026-03-13
172;Mato Grosso do Sul;Ponta Porã;;Nelson Monfort;403-1;;em cima da mesa da varanda;-22,5031051;-55,7374472;2026;10;2026-03-23 20:22:25;10;sevpontapora.ms;;-22.5031051,-55.7374472;;2026-03-09;2026-03-13
173;Mato Grosso do Sul;Ponta Porã;;Av.Belmiro de albuquerque;3330 (São José Materiais de Construção;;armário do fundo;-22,5028065;-55,7343831;2026;10;2026-03-23 20:22:25;15;sevpontapora.ms;;-22.5028065,-55.7343831;;2026-03-09;2026-03-13
174;Mato Grosso do Sul;Ponta Porã;;Rua: Astolfo do Amaral;17;;embaixo do tanque;-22,5022768;-55,7299891;2026;10;2026-03-23 20:22:26;0;sevpontapora.ms;;-22.5022768,-55.7299891;;2026-03-09;2026-03-13
175;Mato Grosso do Sul;Ponta Porã;;R. Jabuticabeira;47;;em cima da mesa;-22,5031554;-55,7251693;2026;10;2026-03-23 20:22:26;16;sevpontapora.ms;;-22.5031554,-55.7251693;;2026-03-09;2026-03-13
176;Mato Grosso do Sul;Ponta Porã;;R. Laranjeira;280;;embaixo da pia;-22,5027842;-55,7227262;2026;10;2026-03-23 20:22:27;29;sevpontapora.ms;;-22.5027842,-55.7227262;;2026-03-09;2026-03-13
177;Mato Grosso do Sul;Ponta Porã;;R. Vacaria;677 (Serralheria);;geladeira;-22,5026854;-55,7188097;2026;10;2026-03-23 20:22:27;37;sevpontapora.ms;;-22.5026854,-55.7188097;;2026-03-09;2026-03-13
178;Mato Grosso do Sul;Ponta Porã;;Rua:Lucélia;408;;varanda;-22,5024656;-55,714133;2026;10;2026-03-23 20:22:28;52;sevpontapora.ms;;-22.5024656,-55.714133;;2026-03-09;2026-03-13
179;Mato Grosso do Sul;Ponta Porã;;Rua: Guaruja;565;;geladeira do salão;-22,5025676;-55,7108878;2026;10;2026-03-23 20:22:28;0;sevpontapora.ms;;-22.5025676,-55.7108878;;2026-03-09;2026-03-13
18;Mato Grosso do Sul;Ponta Porã;;Isaac Newton;645;;;-22,56842584;-55,68056438;2026;10;2026-03-23 20:21:06;0;sevpontapora.ms;;-22.56842584,-55.68056438;;2026-03-09;2026-03-13
180;Mato Grosso do Sul;Ponta Porã;;Alameda Caribe;964;;;-22,50032085;-55,7061126;2026;10;2026-03-23 20:22:29;220;sevpontapora.ms;;-22.50032085,-55.7061126;;2026-03-09;2026-03-13
181;Mato Grosso do Sul;Ponta Porã;;Rua: Dinamarca;964;;salão de ferramenta;-22,50231468;-55,70325266;2026;10;2026-03-23 20:22:29;110;sevpontapora.ms;;-22.50231468,-55.70325266;;2026-03-09;2026-03-13
182;Mato Grosso do Sul;Ponta Porã;;Rua: Magdalena J hernandez;1509;;varanda;-22,50017222;-55,7112595;2026;10;2026-03-23 20:22:30;0;sevpontapora.ms;;-22.50017222,-55.7112595;;2026-03-09;2026-03-13
183;Mato Grosso do Sul;Ponta Porã;;Rua Lucélia;Q 06 Lt 13;;cozinha;-22,50053678;-55,71331495;2026;10;2026-03-23 20:22:30;81;sevpontapora.ms;;-22.50053678,-55.71331495;;2026-03-09;2026-03-13
184;Mato Grosso do Sul;Ponta Porã;;Rua: Pessegueiro;N° 384 Q36 L07;;lavanderia;-22,50001124;-55,71985932;2026;10;2026-03-23 20:22:31;0;sevpontapora.ms;;-22.50001124,-55.71985932;;2026-03-09;2026-03-13
185;Mato Grosso do Sul;Ponta Porã;;R. Pindauva;01;;;-22,49946231;-55,72355661;2026;10;2026-03-23 20:22:31;0;sevpontapora.ms;;-22.49946231,-55.72355661;;2026-03-09;2026-03-13
186;Mato Grosso do Sul;Ponta Porã;;R. Januario paz;859;;pia;-22,49819668;-55,72689149;2026;10;2026-03-23 20:22:32;35;sevpontapora.ms;;-22.49819668,-55.72689149;;2026-03-09;2026-03-13
187;Mato Grosso do Sul;Ponta Porã;;Rua  do Norte;82;;;-22,49924843;-55,72966519;2026;10;2026-03-23 20:22:32;11;sevpontapora.ms;;-22.49924843,-55.72966519;;2026-03-09;2026-03-13
188;Mato Grosso do Sul;Ponta Porã;;Rua: Jaciporã;261;;;-22,49783745;-55,73461993;2026;10;2026-03-23 20:22:33;0;sevpontapora.ms;;-22.49783745,-55.73461993;;2026-03-09;2026-03-13
189;Mato Grosso do Sul;Ponta Porã;;Rua::Gonçalves Dias;(posto de saúde-Ipê 2);;embaixo da mesa;-22,4979825;-55,73792295;2026;10;2026-03-23 20:22:33;28;sevpontapora.ms;;-22.4979825,-55.73792295;;2026-03-09;2026-03-13
19;Mato Grosso do Sul;Ponta Porã;;Barra bonita;947;;;-22,56724;-55,68382;2026;10;2026-03-23 20:21:07;92;sevpontapora.ms;;-22.56724,-55.68382;;2026-03-09;2026-03-13
190;Mato Grosso do Sul;Ponta Porã;;Av. Belmiro de albuquerque;422-2;;na pia;-22,4986098;-55,74304352;2026;10;2026-03-23 20:22:34;0;sevpontapora.ms;;-22.4986098,-55.74304352;;2026-03-09;2026-03-13
191;Mato Grosso do Sul;Ponta Porã;;Rua Projetada 1;103;;Area de serviço;-22,4988367;-55,74515834;2026;10;2026-03-23 20:22:34;5;sevpontapora.ms;;-22.4988367,-55.74515834;;2026-03-09;2026-03-13
192;Mato Grosso do Sul;Ponta Porã;;Rodovia Ms 164;s/n (Empresa Lar);;Balcão;-22,49617872;-55,74713457;2026;10;2026-03-23 20:22:35;0;sevpontapora.ms;;-22.49617872,-55.74713457;;2026-03-09;2026-03-13
193;Mato Grosso do Sul;Ponta Porã;;Rua: Algacyr Pissini;55;;Varanda;-22,4963156;-55,74048373;2026;10;2026-03-23 20:22:36;31;sevpontapora.ms;;-22.4963156,-55.74048373;;2026-03-09;2026-03-13
194;Mato Grosso do Sul;Ponta Porã;;Rua: Algacyr Pissini;235;;Varanda;-22,49589635;-55,73742889;2026;10;2026-03-23 20:22:36;28;sevpontapora.ms;;-22.49589635,-55.73742889;;2026-03-09;2026-03-13
195;Mato Grosso do Sul;Ponta Porã;;Jaciporã;231;;Churrasqueira;-22,49586746;-55,73411537;2026;10;2026-03-23 20:22:37;38;sevpontapora.ms;;-22.49586746,-55.73411537;;2026-03-09;2026-03-13
196;Mato Grosso do Sul;Ponta Porã;;Rua dos deputados;351;;;-22,4970815;-55,72979311;2026;10;2026-03-23 20:22:37;0;sevpontapora.ms;;-22.4970815,-55.72979311;;2026-03-09;2026-03-13
197;Mato Grosso do Sul;Ponta Porã;;Rua: Januario Rodrigues da paz;1092;;Lavanderia;-22,49650967;-55,7263839;2026;10;2026-03-23 20:22:38;250;sevpontapora.ms;;-22.49650967,-55.7263839;;2026-03-09;2026-03-13
198;Mato Grosso do Sul;Ponta Porã;;Vital Brasil ( Antiga Junior);s/n;;Fogão;-22,49486894;-55,7217485;2026;10;2026-03-23 20:22:38;107;sevpontapora.ms;;-22.49486894,-55.7217485;;2026-03-09;2026-03-13
199;Mato Grosso do Sul;Ponta Porã;;Rua Joaquim Murtinho;239;;Atras da geladeira;-22,49112196;-55,72262827;2026;10;2026-03-23 20:22:39;69;sevpontapora.ms;;-22.49112196,-55.72262827;;2026-03-09;2026-03-13
2;Mato Grosso do Sul;Ponta Porã;;Rua: Julio Toffoli;549;;;-22,5779;-55,6764;2026;10;2026-03-23 20:20:58;191;sevpontapora.ms;;-22.5779,-55.6764;;2026-03-09;2026-03-13
20;Mato Grosso do Sul;Ponta Porã;;r. nicandro ernesto;572;;;-22,56656;-55,68697;2026;10;2026-03-23 20:21:07;87;sevpontapora.ms;;-22.56656,-55.68697;;2026-03-09;2026-03-13
200;Mato Grosso do Sul;Ponta Porã;;Rua:Vital Brasil;s/n;;;-22,49086615;-55,71996829;2026;10;2026-03-23 20:22:39;12;sevpontapora.ms;;-22.49086615,-55.71996829;;2026-03-09;2026-03-13
201;Mato Grosso do Sul;Ponta Porã;;Vital Brasil;15;;Tanque;-22,48809281;-55,71958501;2026;10;2026-03-23 20:22:40;55;sevpontapora.ms;;-22.48809281,-55.71958501;;2026-03-09;2026-03-13
202;Mato Grosso do Sul;Ponta Porã;;Rua: Juazeiro;48;;;-22,48731823;-55,72204307;2026;10;2026-03-23 20:22:40;41;sevpontapora.ms;;-22.48731823,-55.72204307;;2026-03-09;2026-03-13
